COMPKEY,UNITID,UNITID2,ORD_STREET,ORD_STNAME,SE_ANNO_CAD_DATA,STATUS,NAME,OBJECTID,Shape__Length
8440,04805,0050,8TH,8TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55105,306.226496067151
1921,00465,0020,14TH,14TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55106,308.21982438823
9438,05735,0059,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55107,279.183615076686
9431,05735,0016,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55108,136.045246766487
9444,05735,0100,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55109,77.1689013026818
9448,05735,0160,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55110,424.912851930858
9434,05735,0029,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55111,132.913990059427
9436,05735,0040,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55112,359.724782289321
20490,16285,0065,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55113,322.010793519649
20488,16285,0050,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55114,322.196554078536
1920,00465,0010,14TH,14TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55115,293.671681317956
9438,05735,0059,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55116,265.784720715098
9439,05735,0060,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55117,320.565407131372
9433,05735,0020,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55118,266.823636080871
20491,16285,0070,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55119,245.671435595486
20484,16285,0020,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55120,321.299936127833
20491,16285,0070,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55121,322.745611332847
1920,00465,0010,14TH,14TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55122,257.036481092574
20492,16285,0080,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55123,350.944128709816
9450,05735,0180,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55124,151.389104177586
9430,05735,0015,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55125,73.4338180332633
14933,11690,0090,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55126,259.960774077848
20484,16285,0020,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55127,321.53746799022
9437,05735,0050,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55128,102.738587773197
1921,00465,0020,14TH,14TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55129,305.750987381615
9448,05735,0160,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55130,424.786415020108
9434,05735,0029,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55131,86.9770844499219
20485,16285,0030,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55132,151.150006480033
20493,16285,0100,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55133,595.986128284988
14934,11690,0100,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55134,436.628014376072
20485,16285,0030,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55135,142.589905284028
9449,05735,0170,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55136,491.853237677874
8439,04805,0040,8TH,8TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55137,263.083480161309
14935,11690,0110,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55138,252.894929841229
9442,05735,0085,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55139,177.127576949051
20490,16285,0065,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55140,322.190363692992
20483,16285,0015,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55141,320.71379281376
20494,16285,0120,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55142,723.949107061492
20491,16285,0070,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55143,322.097927385929
9436,05735,0040,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55144,360.650011440392
9440,05735,0070,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55145,426.048742312779
9429,05735,0010,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55146,373.162953771612
9432,05735,0017,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55147,91.9011906338506
20487,16285,0040,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55148,321.268972291904
9430,05735,0015,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55149,54.4334669646304
9435,05735,0030,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55150,213.129763538548
20487,16285,0040,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55151,320.841925781241
9432,05735,0017,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55152,86.0898575406761
9431,05735,0016,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55153,161.552112377682
9437,05735,0050,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55154,93.804805545845
9429,05735,0010,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55155,377.485306874774
9439,05735,0060,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55156,306.202179229079
14935,11690,0110,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55157,258.347052385736
9449,05735,0170,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55158,489.813350561177
9442,05735,0085,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55159,222.700480373112
9433,05735,0020,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55160,274.908541980235
9444,05735,0100,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55161,29.4328985821077
9445,05735,0110,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55162,622.646440831307
20488,16285,0050,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55163,322.063755907789
8441,04805,0060,8TH,8TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55164,305.372550625305
20492,16285,0080,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55165,349.254623837448
20493,16285,0100,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55166,597.309584912557
9441,05735,0080,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55167,154.855691318251
20486,16285,0036,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55168,171.251078423157
9435,05735,0030,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55169,260.09440632406
9447,05735,0150,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55170,423.104330078651
1922,00465,0030,14TH,14TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55171,273.232972625336
9447,05735,0150,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55172,423.354846097425
14933,11690,0090,YESLER,E YESLER WAY,System.Byte[],CONSTRUCTED,First Hill Alignment,55173,229.717755273024
9446,05735,0140,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55174,405.039025197383
9443,05735,0090,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55175,359.003803315964
508085,16285,0090,JACKSON,S JACKSON ST,System.Byte[],CONSTRUCTED,First Hill Alignment,55176,341.365569683349
9440,05735,0070,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55177,425.590640166669
9445,05735,0110,BROADWAY,BROADWAY E,System.Byte[],CONSTRUCTED,First Hill Alignment,55178,589.80302261499
8442,04805,0070,8TH,8TH AVE S,System.Byte[],CONSTRUCTED,First Hill Alignment,55179,306.798879193593
13532,10440,0010,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55180,429.204008786274
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55181,201.000538933075
13266,10160,0100,VALLEY,VALLEY ST,System.Byte[],CONSTRUCTED,South Lake Union,55182,231.163889694194
13536,10440,0050,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55183,483.300177469803
13121,10045,0040,TERRY,TERRY AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55184,79.3362661711314
13529,10435,0202,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55185,119.418458671369
13266,10160,0100,VALLEY,VALLEY ST,System.Byte[],CONSTRUCTED,South Lake Union,55186,332.150950738519
13529,10435,0202,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55187,435.826467848776
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55188,239.092286895797
10356,6745,0100,FAIRVIEW,FAIRVIEW AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55189,241.341410065774
0, , , , ,System.Byte[],CONSTRUCTED,South Lake Union,55190,107.347212525807
13526,10435,0190,WESTLAKE,WESTLAKE AVE,System.Byte[],CONSTRUCTED,South Lake Union,55191,122.274818126682
13122,10045,0050,TERRY,TERRY AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55192,457.600657972787
10770,7180,0115,HARRISON,HARRISON ST,System.Byte[],CONSTRUCTED,South Lake Union,55193,44.2324816752653
,,,,,System.Byte[],CONSTRUCTED,,55194,57.3945407117643
13533,10440,0020,WESTLAKE,WESTLAKE AVE N,System.Byte[],CONSTRUCTED,South Lake Union,55195,354.907738002431
