OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,No Vehicles Available,1 Vehicle Available,2 Vehicles Available,3 or more Vehicles Available,Worked From Home,Car truck or van - drove alone,Car truck or van - carpooled,Public Transportation (excluding taxicab),Other Means,Travel Time <15 Minutes,Travel Time 15-29 Minutes,Travel Time 30-44 Minutes,Travel Time 45-59 Minutes,Travel Time 60-89 Minutes,Travel Time 90+ Minutes,Walked,Workers 16 years and over,Total Households,Neighborhood Type (outside comp plan areas id)
1,1,Council District 1,CD,,5Y23,4725,20224,16850,6410,19491,29151,3609,6903,1533,7807,12808,12471,6284,2818,694,1686,62373,48209,CD
2,2,Council District 2,CD,,5Y23,8306,17098,12345,6075,14787,25541,4843,10039,1789,6233,17374,12653,5315,2276,813,2452,59451,43824,CD
3,3,Council District 3,CD,,5Y23,15898,28342,11979,3937,22120,22247,2384,12165,3636,10066,21684,11832,3099,1713,695,8657,71209,60156,CD
4,4,Council District 4,CD,,5Y23,7189,17985,13141,4254,17244,21170,2932,9103,3037,9010,17948,9991,3022,1621,387,5737,59223,42569,CD
5,5,Council District 5,CD,,5Y23,5755,20824,15212,6096,16603,29178,3943,8165,2042,6627,18004,13046,4241,2289,553,1432,61363,47887,CD
6,6,Council District 6,CD,,5Y23,4755,24079,16405,4784,23789,24691,3229,7865,3443,7597,15180,12570,4317,1573,604,2613,65630,50023,CD
7,7,Council District 7,CD,,5Y23,20099,29527,9188,1905,27067,17713,2177,8439,2042,11353,19782,9482,2356,1487,557,14646,72084,60719,CD
8,1.1,Arbor Heights,CRA,Southwest,5Y23,0,954,1220,519,1107,1572,158,138,31,296,477,726,256,139,36,31,3037,2693,CRA
9,1.2,Fauntleroy/Seaview,CRA,Southwest,5Y23,450,2432,2952,1045,3280,4025,463,767,211,1054,1660,1372,1103,313,91,127,8873,6879,CRA
10,1.3,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y23,946,5955,2995,1344,5190,6183,514,1686,415,1641,2144,2816,1788,731,162,484,14472,11240,CRA
